Name,Team,NOC,Games,City,Sport,Event,Medal
Ursula Happe (Krey-),Germany,GER,1956 Summer,Melbourne,Swimming,Swimming Women's 200 metres Breaststroke,Gold
Usain St. Leo Bolt,Jamaica,JAM,2008 Summer,Beijing,Athletics,Athletics Men's 100 metres,Gold
Usain St. Leo Bolt,Jamaica,JAM,2008 Summer,Beijing,Athletics,Athletics Men's 200 metres,Gold
Usain St. Leo Bolt,Jamaica,JAM,2012 Summer,London,Athletics,Athletics Men's 100 metres,Gold
Usain St. Leo Bolt,Jamaica,JAM,2012 Summer,London,Athletics,Athletics Men's 200 metres,Gold
Usain St. Leo Bolt,Jamaica,JAM,2012 Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Usain St. Leo Bolt,Jamaica,JAM,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,Gold
Usain St. Leo Bolt,Jamaica,JAM,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,Gold
Usain St. Leo Bolt,Jamaica,JAM,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Ute Geweniger (-Strauss),East Germany,GDR,1980 Summer,Moskva,Swimming,Swimming Women's 100 metres Breaststroke,Gold
Ute Geweniger (-Strauss),East Germany,GDR,1980 Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Ute Kircheis-Wessel,West Germany,FRG,1984 Summer,Los Angeles,Fencing,"Fencing Women's Foil, Team",Gold
Ute Schell-Wagner-Stange,East Germany,GDR,1988 Summer,Seoul,Rowing,Rowing Women's Coxed Eights,Gold
Ute Steindorf,East Germany,GDR,1980 Summer,Moskva,Rowing,Rowing Women's Coxless Pairs,Gold
Ute Wild (-Ntzel),East Germany,GDR,1988 Summer,Seoul,Rowing,Rowing Women's Coxed Eights,Gold
Uwe Ampler,East Germany,GDR,1988 Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Uwe Benter,West Germany,FRG,1972 Summer,Munich,Rowing,Rowing Men's Coxed Fours,Gold
Uwe Daler,East Germany,GDR,1988 Summer,Seoul,Swimming,Swimming Men's 400 metres Freestyle,Gold
Uwe Dhring,East Germany,GDR,1980 Summer,Moskva,Rowing,Rowing Men's Coxed Eights,Gold
Uwe Gerhard Proske,Germany,GER,1992 Summer,Barcelona,Fencing,"Fencing Men's epee, Team",Gold
Uwe Heppner,East Germany,GDR,1980 Summer,Moskva,Rowing,Rowing Men's Quadruple Sculls,Gold
Uwe Peschel,Germany,GER,1992 Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Uwe Potteck,East Germany,GDR,1976 Summer,Montreal,Shooting,"Shooting Mixed Free Pistol, 50 metres",Gold
Uwe Sauer,West Germany,FRG,1984 Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
Uwe-Jens Mey,East Germany,GDR,1988 Winter,Calgary,Speed Skating,Speed Skating Men's 500 metres,Gold
Uwe-Jens Mey,Germany,GER,1992 Winter,Albertville,Speed Skating,Speed Skating Men's 500 metres,Gold
va Dnusz,Hungary,HUN,1992 Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
va Grard-Novk,Hungary,HUN,1952 Summer,Helsinki,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
va Risztov,Hungary,HUN,2012 Summer,London,Swimming,Swimming Women's 10 kilometres Open Water,Gold
va Szkely (-Gyarmati),Hungary,HUN,1952 Summer,Helsinki,Swimming,Swimming Women's 200 metres Breaststroke,Gold
Vadim Gennadyevich Makhnyov,Belarus,BLR,2008 Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Vadim Iosifovich Bogiyev,Russia,RUS,1996 Summer,Atlanta,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
Vadim Vladimirovich Gulyayev,Soviet Union,URS,1972 Summer,Munich,Water Polo,Water Polo Men's Water Polo,Gold
Vadym Markovych Huttsait,Unified Team,EUN,1992 Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",Gold
Vakht'ang Blagidze,Soviet Union,URS,1980 Summer,Moskva,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Gold
Valdemaras Chomiius,Soviet Union,URS,1988 Summer,Seoul,Basketball,Basketball Men's Basketball,Gold
Valent Sinkovi,Croatia,CRO,2016 Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Gold
Valentin Dimitrov Yordanov,Bulgaria,BUL,1996 Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold
Valentin Ivanovich Muratov,Soviet Union,URS,1952 Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Gold
Valentin Ivanovich Muratov,Soviet Union,URS,1956 Summer,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,Gold
Valentin Ivanovich Muratov,Soviet Union,URS,1956 Summer,Melbourne,Gymnastics,Gymnastics Men's Floor Exercise,Gold
Valentin Ivanovich Muratov,Soviet Union,URS,1956 Summer,Melbourne,Gymnastics,Gymnastics Men's Horse Vault,Gold
Valentin Kozmich Ivanov,Soviet Union,URS,1956 Summer,Melbourne,Football,Football Men's Football,Gold
Valentin Raychev,Bulgaria,BUL,1980 Summer,Moskva,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
Valentin Vasilyevich Boreyko,Soviet Union,URS,1960 Summer,Roma,Rowing,Rowing Men's Coxless Pairs,Gold
Valentin Vladimirovich Nikolayev,Soviet Union,URS,1956 Summer,Melbourne,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Valentin Yegorovich Kuzin,Soviet Union,URS,1956 Winter,Cortina d'Ampezzo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Valentina Aleksandrovna Prudskova,Soviet Union,URS,1960 Summer,Roma,Fencing,"Fencing Women's Foil, Team",Gold
Valentina Alekseyevna Kamenyok-Vinogradova,Soviet Union,URS,1968 Summer,Mexico City,Volleyball,Volleyball Women's Volleyball,Gold
Valentina Gennadyevna Nikonova,Soviet Union,URS,1976 Summer,Montreal,Fencing,"Fencing Women's Foil, Team",Gold
Valentina Mikhaylovna Yegorova (Vasilyeva-),Unified Team,EUN,1992 Summer,Barcelona,Athletics,Athletics Women's Marathon,Gold
Valentina Vasilyevna Sidorova (Burochkina-),Soviet Union,URS,1976 Summer,Montreal,Fencing,"Fencing Women's Foil, Team",Gold
Valentina Vitalyevna Ogiyenko,Soviet Union,URS,1988 Summer,Seoul,Volleyball,Volleyball Women's Volleyball,Gold
Valentino Gasparella,Italy,ITA,1956 Summer,Melbourne,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Valentyn Hryhorovych Mankin,Soviet Union,URS,1968 Summer,Mexico City,Sailing,Sailing Mixed One Person Dinghy,Gold
Valentyn Hryhorovych Mankin,Soviet Union,URS,1972 Summer,Munich,Sailing,Sailing Mixed Two Person Keelboat,Gold
Valentyn Hryhorovych Mankin,Soviet Union,URS,1980 Summer,Moskva,Sailing,Sailing Mixed Two Person Keelboat,Gold
Valentyna Ivanivna Lutaieva (Berzina-),Soviet Union,URS,1980 Summer,Moskva,Handball,Handball Women's Handball,Gold
Valentyna Ksenofontivna Rastvorova (-Hrishyna),Soviet Union,URS,1960 Summer,Roma,Fencing,"Fencing Women's Foil, Team",Gold
"Valentyna Oleksandrivna ""Valj"" Semerenko",Ukraine,UKR,2014 Winter,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
Valeri Belenki,Unified Team,EUN,1992 Summer,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Gold
Valeria Roca-Rcil (-van Grningen),Romania,ROU,1984 Summer,Los Angeles,Rowing,Rowing Women's Single Sculls,Gold
Valerian Sergeyevich Sokolov,Soviet Union,URS,1968 Summer,Mexico City,Boxing,Boxing Men's Bantamweight,Gold
Valerie Ann Brisco-Hooks,United States,USA,1984 Summer,Los Angeles,Athletics,Athletics Women's 200 metres,Gold
Valerie Ann Brisco-Hooks,United States,USA,1984 Summer,Los Angeles,Athletics,Athletics Women's 400 metres,Gold
Valerie Ann Brisco-Hooks,United States,USA,1984 Summer,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Valerie Kasanita Adams-Vili (-Price),New Zealand,NZL,2008 Summer,Beijing,Athletics,Athletics Women's Shot Put,Gold
Valerie Kasanita Adams-Vili (-Price),New Zealand,NZL,2012 Summer,London,Athletics,Athletics Women's Shot Put,Gold
Valerio Aspromonte,Italy,ITA,2012 Summer,London,Fencing,"Fencing Men's Foil, Team",Gold
Valerio Perentin,Italy,ITA,1928 Summer,Amsterdam,Rowing,Rowing Men's Coxed Fours,Gold
"Valeriu ""Valer"" Toma",Romania,ROU,1984 Summer,Los Angeles,Rowing,Rowing Men's Coxless Pairs,Gold
Valeriy Hryhorovych Hoborov,Soviet Union,URS,1988 Summer,Seoul,Basketball,Basketball Men's Basketball,Gold
Valeriy Ivanovych Movchan,Soviet Union,URS,1980 Summer,Moskva,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Valeriy Mykhailovych Kryvov,Soviet Union,URS,1980 Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Gold
Valeriy Pylypovych Borzov,Soviet Union,URS,1972 Summer,Munich,Athletics,Athletics Men's 100 metres,Gold
Valeriy Pylypovych Borzov,Soviet Union,URS,1972 Summer,Munich,Athletics,Athletics Men's 200 metres,Gold
Valeriy Viktorovich Borchin,Russia,RUS,2008 Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,Gold
Valeriy Volodymyrovych Honcharov,Ukraine,UKR,2004 Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,Gold
Valery Alekseyevich Kalachikhin,Soviet Union,URS,1964 Summer,Tokyo,Volleyball,Volleyball Men's Volleyball,Gold
Valery Alekseyevich Medvedtsev,Soviet Union,URS,1988 Winter,Calgary,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
Valery Alekseyevich Tikhonenko,Soviet Union,URS,1988 Summer,Seoul,Basketball,Basketball Men's Basketball,Gold
Valery Andreyevich Chaplygin,Soviet Union,URS,1976 Summer,Montreal,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Valery Antonovich Didenko,Soviet Union,URS,1972 Summer,Munich,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Valery Borisovich Kharlamov,Soviet Union,URS,1972 Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Valery Borisovich Kharlamov,Soviet Union,URS,1976 Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Valery Dmitriyevich Gassy,Soviet Union,URS,1976 Summer,Montreal,Handball,Handball Men's Handball,Gold
Valery Grigoryevich Rezantsev,Soviet Union,URS,1972 Summer,Munich,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Valery Grigoryevich Rezantsev,Soviet Union,URS,1976 Summer,Montreal,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Valery Ivanovich Kravchenko,Soviet Union,URS,1968 Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,Gold
Valery Ivanovich Vasilyev,Soviet Union,URS,1972 Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Valery Ivanovich Vasilyev,Soviet Union,URS,1976 Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Valery Nikolayevich Brumel,Soviet Union,URS,1964 Summer,Tokyo,Athletics,Athletics Men's High Jump,Gold
Valery Nikolayevich Likhachov,Soviet Union,URS,1972 Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Valery Nikolayevich Yardy,Soviet Union,URS,1972 Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Valery Pavlovich Gopin,Soviet Union,URS,1988 Summer,Seoul,Handball,Handball Men's Handball,Gold
Valery Pavlovich Gopin,Unified Team,EUN,1992 Summer,Barcelona,Handball,Handball Men's Handball,Gold
Valery Petrovich Shary,Soviet Union,URS,1976 Summer,Montreal,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
Valery Viktorovich Kamensky,Soviet Union,URS,1988 Winter,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Valery Viktorovich Lyukin,Soviet Union,URS,1988 Summer,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Gold
Valery Viktorovich Lyukin,Soviet Union,URS,1988 Summer,Seoul,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
Valery Vladimirovich Popenchenko,Soviet Union,URS,1964 Summer,Tokyo,Boxing,Boxing Men's Middleweight,Gold
Valery Yakovlevich Volkov,Soviet Union,URS,1980 Summer,Moskva,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
"Valeska ""Valeskinha"" dos Santos Menezes",Brazil,BRA,2008 Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
Valner Frankovi,Croatia,CRO,1996 Summer,Atlanta,Handball,Handball Men's Handball,Gold
Valria Gyenge (-Garai),Hungary,HUN,1952 Summer,Helsinki,Swimming,Swimming Women's 400 metres Freestyle,Gold
Valrie Gisele Angele Barlois-Mevel-Leroux,France,FRA,1996 Summer,Atlanta,Fencing,"Fencing Women's epee, Team",Gold
Valter Matoevi,Croatia,CRO,1996 Summer,Atlanta,Handball,Handball Men's Handball,Gold
Valter Matoevi,Croatia,CRO,2004 Summer,Athina,Handball,Handball Men's Handball,Gold
Van Ranst,Belgium,BEL,1920 Summer,Antwerpen,Equestrianism,"Equestrianism Men's Vaulting, Team",Gold
Vane Hungerford Pennell,Great Britain-1,GBR,1908 Summer,London,Racquets,Racquets Men's Doubles,Gold
Vanja Hedvig Desideria Blomberg (-Webjrn),Sweden,SWE,1952 Summer,Helsinki,Gymnastics,Gymnastics Women's Team Portable Apparatus,Gold
Vanya Atanasova Gesheva (-Tsvetkova),Bulgaria,BUL,1988 Summer,Seoul,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
Varteres Varteresovich Samurgashev,Russia,RUS,2000 Summer,Sydney,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
Vasa Miji,Serbia and Montenegro,SCG,2000 Summer,Sydney,Volleyball,Volleyball Men's Volleyball,Gold
Vasile Andrei,Romania,ROU,1984 Summer,Los Angeles,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
Vasile Dba,Romania,ROU,1976 Summer,Montreal,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold
Vasile Pucau,Romania,ROU,1988 Summer,Seoul,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
Vasilijus Matuevas,Soviet Union,URS,1968 Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,Gold
Vasily Aleksandrovich Kudinov,Unified Team,EUN,1992 Summer,Barcelona,Handball,Handball Men's Handball,Gold
Vasily Aleksandrovich Kudinov,Russia,RUS,2000 Summer,Sydney,Handball,Handball Men's Handball,Gold
Vasily Alekseyevich Pervukhin,Soviet Union,URS,1984 Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Vasily Fyodorovich Borisov,Soviet Union,URS,1956 Summer,Melbourne,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
Vasily Ivanovich Alekseyev,Soviet Union,URS,1972 Summer,Munich,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
Vasily Ivanovich Alekseyev,Soviet Union,URS,1976 Summer,Montreal,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
Vasily Pavlovich Rochev,Soviet Union,URS,1980 Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
Vasily Petrovich Ilyin,Soviet Union,URS,1976 Summer,Montreal,Handball,Handball Men's Handball,Gold
Vasily Valeryevich Zhirov,Kazakhstan,KAZ,1996 Summer,Atlanta,Boxing,Boxing Men's Light-Heavyweight,Gold
Vasily Vasilyevich Rudenkov,Soviet Union,URS,1960 Summer,Roma,Athletics,Athletics Men's Hammer Throw,Gold
Vasudevan Bhaskaran,India,IND,1980 Summer,Moskva,Hockey,Hockey Men's Hockey,Gold
Vasyl Anatoliyovich Lomachenko,Ukraine,UKR,2008 Summer,Beijing,Boxing,Boxing Men's Featherweight,Gold
Vasyl Anatoliyovich Lomachenko,Ukraine,UKR,2012 Summer,London,Boxing,Boxing Men's Lightweight,Gold
Vatemo Ravouvou,Fiji,FIJ,2016 Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
Vazha K'ach'arava,Soviet Union,URS,1964 Summer,Tokyo,Volleyball,Volleyball Men's Volleyball,Gold
Vclav Kozk,Czechoslovakia,TCH,1960 Summer,Roma,Rowing,Rowing Men's Double Sculls,Gold
Vclav Mottl,Czechoslovakia,TCH,1936 Summer,Berlin,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",Gold
Vctor Mesa Martnez,Cuba,CUB,1992 Summer,Barcelona,Baseball,Baseball Men's Baseball,Gold
Vebjrn Rodal,Norway,NOR,1996 Summer,Atlanta,Athletics,Athletics Men's 800 metres,Gold
Vedran Zrni,Croatia,CRO,2004 Summer,Athina,Handball,Handball Men's Handball,Gold
Vegard Ulvang,Norway,NOR,1992 Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,Gold
Vegard Ulvang,Norway,NOR,1992 Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Gold
Vegard Ulvang,Norway,NOR,1992 Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
Veikko Aarne Aleks Huhtanen,Finland,FIN,1948 Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Gold
Veikko Aarne Aleks Huhtanen,Finland,FIN,1948 Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
Veikko Aarne Aleks Huhtanen,Finland,FIN,1948 Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Veikko Johannes Hakulinen,Finland,FIN,1952 Winter,Oslo,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Gold
Veikko Johannes Hakulinen,Finland,FIN,1956 Winter,Cortina d'Ampezzo,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Gold
Veikko Johannes Hakulinen,Finland,FIN,1960 Winter,Squaw Valley,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
Veli Selim Saarinen,Finland,FIN,1932 Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Gold
Velimir Sombolac,Yugoslavia,YUG,1960 Summer,Roma,Football,Football Men's Football,Gold
Velimir Valenta,Yugoslavia,YUG,1952 Summer,Helsinki,Rowing,Rowing Men's Coxless Fours,Gold
"Velvet James ""Jim"" Barnes",United States,USA,1964 Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
Veniamin Igorevich Tayanovich,Unified Team,EUN,1992 Summer,Barcelona,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Veniamin Veniaminovich Aleksandrov,Soviet Union,URS,1964 Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Veniamin Veniaminovich Aleksandrov,Soviet Union,URS,1968 Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Venio Losert,Croatia,CRO,1996 Summer,Atlanta,Handball,Handball Men's Handball,Gold
Venio Losert,Croatia,CRO,2004 Summer,Athina,Handball,Handball Men's Handball,Gold
"Venne ""Verner"" Jrvinen",Finland,FIN,1906 Summer,Athina,Athletics,"Athletics Men's Discus Throw, Greek Style",Gold
Venus Ebony Starr Williams,United States,USA,2000 Summer,Sydney,Tennis,Tennis Women's Singles,Gold
Venus Ebony Starr Williams,United States,USA,2000 Summer,Sydney,Tennis,Tennis Women's Doubles,Gold
Venus Ebony Starr Williams,United States-2,USA,2008 Summer,Beijing,Tennis,Tennis Women's Doubles,Gold
Venus Ebony Starr Williams,United States-1,USA,2012 Summer,London,Tennis,Tennis Women's Doubles,Gold
Venus Milette Lacey,United States,USA,1996 Summer,Atlanta,Basketball,Basketball Women's Basketball,Gold
ver Maximiliano David Banega,Argentina,ARG,2008 Summer,Beijing,Football,Football Men's Football,Gold
Vera Illarionovna Galushka-Duyunova,Soviet Union,URS,1968 Summer,Mexico City,Volleyball,Volleyball Women's Volleyball,Gold
Vera Illarionovna Galushka-Duyunova,Soviet Union,URS,1972 Summer,Munich,Volleyball,Volleyball Women's Volleyball,Gold
Vera Leonidovna Biryukova,Russia,RUS,2016 Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Vera Sergeyevna Ilyina,Russia,RUS,2000 Summer,Sydney,Diving,Diving Women's Synchronized Springboard,Gold
Vera Stepanovna Lantratova (-Ganzhenko),Soviet Union,URS,1968 Summer,Mexico City,Volleyball,Volleyball Women's Volleyball,Gold
Vera Vladimirovna Shimanskaya,Russia,RUS,2000 Summer,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Vera Yakovlevna Komisova (Nikitina-),Soviet Union,URS,1980 Summer,Moskva,Athletics,Athletics Women's 100 metres Hurdles,Gold
Vera Zozua (-Pyatnizin),Soviet Union,URS,1980 Winter,Lake Placid,Luge,Luge Women's Singles,Gold
"Verena ""Vreni"" Schneider",Switzerland,SUI,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Gold
"Verena ""Vreni"" Schneider",Switzerland,SUI,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Women's Slalom,Gold
"Verena ""Vreni"" Schneider",Switzerland,SUI,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Slalom,Gold
"Vernon ""Vern"" Fleming",United States,USA,1984 Summer,Los Angeles,Basketball,Basketball Men's Basketball,Gold
Veronica Angella Campbell-Brown,Jamaica,JAM,2004 Summer,Athina,Athletics,Athletics Women's 200 metres,Gold
Veronica Angella Campbell-Brown,Jamaica,JAM,2004 Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Veronica Angella Campbell-Brown,Jamaica,JAM,2008 Summer,Beijing,Athletics,Athletics Women's 200 metres,Gold
Veronica Cogeanu-Cochela,Romania,ROU,1996 Summer,Atlanta,Rowing,Rowing Women's Coxed Eights,Gold
Veronica Cogeanu-Cochela,Romania,ROU,2000 Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Gold
Veronika Hesse-Schmidt,East Germany,GDR,1980 Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
Veryan Guy Henry Pappin,Great Britain,GBR,1988 Summer,Seoul,Hockey,Hockey Men's Hockey,Gold
Veselin uho,Yugoslavia,YUG,1984 Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Gold
Veselin uho,Yugoslavia,YUG,1988 Summer,Seoul,Water Polo,Water Polo Men's Water Polo,Gold
Veselin Vujovi,Yugoslavia,YUG,1984 Summer,Los Angeles,Handball,Handball Men's Handball,Gold
Veselin Vukovi,Yugoslavia,YUG,1984 Summer,Los Angeles,Handball,Handball Men's Handball,Gold
V'iacheslav Mykolaiovych Oliynyk,Ukraine,UKR,1996 Summer,Atlanta,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Vibeke Westbye Skofterud,Norway,NOR,2010 Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
Vicky Sunohara,Canada,CAN,2002 Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Vicky Sunohara,Canada,CAN,2006 Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
"Victor ""Vic"" Emery",Canada-1,CAN,1964 Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Four,Gold
Victor Alexander Feddersen,Denmark,DEN,1996 Summer,Atlanta,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Victor Davis,Canada,CAN,1984 Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,Gold
"Victor Henry Augustus ""Vic"" d'Arcy",Great Britain,GBR,1912 Summer,Stockholm,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Victor Iosifovich Reneischi,Soviet Union,URS,1988 Summer,Seoul,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Gold
Victor Iosifovich Reneischi,Soviet Union,URS,1988 Summer,Seoul,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
"Victor Ivan ""Vic"" Wild",Russia,RUS,2014 Winter,Sochi,Snowboarding,Snowboarding Men's Parallel Giant Slalom,Gold
"Victor Ivan ""Vic"" Wild",Russia,RUS,2014 Winter,Sochi,Snowboarding,Snowboarding Men's Parallel Slalom,Gold
"Victor John ""V. J."" Peter",India,IND,1964 Summer,Tokyo,Hockey,Hockey Men's Hockey,Gold
Victor Louis Fierens,Belgium,BEL,1920 Summer,Antwerpen,Archery,"Archery Men's Target Archery, 33 metres, Team",Gold
Victor Louis Fierens,Belgium,BEL,1920 Summer,Antwerpen,Archery,"Archery Men's Target Archery, 50 metres, Team",Gold
Victor Louis Johnson,Great Britain,GBR,1908 Summer,London,Cycling,Cycling Men's Sprint,Gold
Victor Nosa Ikpeba,Nigeria,NGR,1996 Summer,Atlanta,Football,Football Men's Football,Gold
Victor Wayne Glasgow,United States,USA,1952 Summer,Helsinki,Basketball,Basketball Men's Basketball,Gold
Victor Willems,Belgium,BEL,1912 Summer,Stockholm,Fencing,"Fencing Men's epee, Team",Gold
"Victoria ""Vicki"" Movsessian (-Lamoriello)",United States,USA,1998 Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
"Victoria Andrea ""Vicky"" Bullett",United States,USA,1988 Summer,Seoul,Basketball,Basketball Women's Basketball,Gold
"Victoria Louise ""Vicki"" Pendleton (-Gardner)",Great Britain,GBR,2008 Summer,Beijing,Cycling,Cycling Women's Sprint,Gold
"Victoria Louise ""Vicki"" Pendleton (-Gardner)",Great Britain,GBR,2012 Summer,London,Cycling,Cycling Women's Keirin,Gold
"Victoria Manalo ""Vicki"" Draves",United States,USA,1948 Summer,London,Diving,Diving Women's Springboard,Gold
"Victoria Manalo ""Vicki"" Draves",United States,USA,1948 Summer,London,Diving,Diving Women's Platform,Gold
Victoriano Alberto Zorrilla,Argentina,ARG,1928 Summer,Amsterdam,Swimming,Swimming Men's 400 metres Freestyle,Gold
Vicyohandri Odeln Sanam,Cuba,CUB,2004 Summer,Athina,Baseball,Baseball Men's Baseball,Gold
Vida Beselien (ulskyt-),Soviet Union,URS,1980 Summer,Moskva,Basketball,Basketball Women's Basketball,Gold
Vida Vencien (Mogenyt-),Soviet Union,URS,1988 Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Gold
Viggo Valdemar Dibbern,Denmark,DEN,1920 Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Vigo Carl Andersen,Denmark,DEN,1906 Summer,Athina,Football,Football Men's Football,Gold
Viktor Aleksandrovich Mineyev,Soviet Union,URS,1964 Summer,Tokyo,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
Viktor Aleksandrovich Pankrashkin,Soviet Union,URS,1988 Summer,Seoul,Basketball,Basketball Men's Basketball,Gold
Viktor Aleksandrovich Sidyak,Soviet Union,URS,1968 Summer,Mexico City,Fencing,"Fencing Men's Sabre, Team",Gold
